0,hrep
0,vrep
0,gnn
0,mlp
0,cnn
1,hrep
1,vrep
1,gnn
1,mlp
1,cnn
2,hrep
2,vrep
2,gnn
2,mlp
2,cnn
3,hrep
3,vrep
3,gnn
3,mlp
3,cnn
4,hrep
4,vrep
4,gnn
4,mlp
4,cnn
5,hrep
5,vrep
5,gnn
5,mlp
5,cnn
6,hrep
6,vrep
6,gnn
6,mlp
6,cnn
7,hrep
7,vrep
7,gnn
7,mlp
7,cnn
8,hrep
8,vrep
8,gnn
8,mlp
8,cnn
9,hrep
9,vrep
9,gnn
9,mlp
9,cnn
10,hrep
10,vrep
10,gnn
10,mlp
10,cnn
11,hrep
11,vrep
11,gnn
11,mlp
11,cnn
12,hrep
12,vrep
12,gnn
12,mlp
12,cnn
13,hrep
13,vrep
13,gnn
13,mlp
13,cnn
14,hrep
14,vrep
14,gnn
14,mlp
14,cnn
